specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth (mm)
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;3,2
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;3,02
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;2,69
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,7
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;2,25
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;2,55
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,18
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,78
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,88
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,53
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,84
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;2
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,85
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,28
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,76
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,54
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,71
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;2,54
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,95
VD4;Porites or Goniopora;V;40,040278;18,408333;24;62;1,68
VD5;Pavona?;V;40,0375;18,419444;34;51;3,7
VD5;Pavona?;V;40,375;18,419444;34;51;4,61
VD5;Pavona?;V;40,375;18,419444;34;51;4,11
VD5;Pavona?;V;40,375;18,419444;34;51;3,6
VD5;Pavona?;V;40,375;18,419444;34;51;3,16
VD5;Pavona?;V;40,375;18,419444;34;51;3,04
VD5;Pavona?;V;40,375;18,419444;34;51;3,65
VD5;Pavona?;V;40,375;18,419444;34;51;3,18
VD5;Pavona?;V;40,375;18,419444;34;51;3,64
VD5;Pavona?;V;40,375;18,419444;34;51;3,29
VD5;Pavona?;V;40,375;18,419444;34;51;2,93
VD5;Pavona?;V;40,375;18,419444;34;51;2,58
VD5;Pavona?;V;40,375;18,419444;34;51;4,14
VD5;Pavona?;V;40,375;18,419444;34;51;3,33
