d.por.trait_name;d.por.specie_name;d.por.value;d.por.standard_unit;d.por.value_type;d.por.location_name;d.por.methodology_name;;
Skeletal density;Porites astreoides;1,33;g cm-3;mean;Isla Pajaros, Veracruz, Mexican Caribbean;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,45;g cm-3;mean;Isla Verde, Veracruz, Mexican Caribbean;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,64;g cm-3;mean;Isla Sacrificios, Veracruz, Mexican Caribbean;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,52;g cm-3;mean; Isla Enmedio, Veracruz, Mexican Caribbean;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,33;g cm-3;mean;Hornos reef, Veracruz, Gulf of Mexico;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,3;g cm-3;mean;Isla Gallega, Veracruz, Gulf of Mexico;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,29;g cm-3;mean;Isla Chopas, Veracruz, Gulf of Mexico;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,71;g cm-3;mean;Isla Cabezo, Veracruz, Gulf of Mexico;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,55;g cm-3;mean;Isla Anegada de Fuera, Veracruz, Gulf of Mexico;X-radiography (densitometer);;
Skeletal density;Porites astreoides;1,42;g cm-3;mean;Isla Anegada de Dentro, Veracruz, Gulf of Mexico;X-radiography (densitometer);;
Skeletal density;Porites lutea;1,05;g cm-3;mean;Ao Man, Thailand ;;;
Skeletal density;Porites lutea;1,11;g cm-3;mean;Ko Lon, Thailand;;;
Skeletal density;Porites lutea;1,05;g cm-3;mean;Tin Smelter, Phuket, Thailand;;;
Skeletal density;Porites lutea;1,08;g cm-3;mean;Porites Bay, Thailand;;;
Skeletal density;Porites lutea;1,15;g cm-3;mean;Ko Phi Phi, Thailand;;;
Skeletal density;Porites lutea;1,25;g cm-3;mean;Yam Yen, Phuket, Thailand ;;;
Skeletal density;Porites lutea;1,2;g cm-3;mean;Ko Hi, Thailand;;;
Skeletal density;Porites lutea;1,2;g cm-3;mean;Shark Point, Thailand;;;
Skeletal density;Porites lutea;1,24;g cm-3;mean;Ko Bon, Thailand;;;
Skeletal density;Porites lutea;1,3;g cm-3;mean;Ko Racha Yai, Thailand;;;
Skeletal density;Porites lutea;1,52;g cm-3;mean;Ko Miang, Thailand;;;
Skeletal density;Porites lobata;1,41;g cm-3;mean;American Samoa;Archimedes principle;;
Skeletal density;Porites lobata;1,53;g cm-3;mean;American Samoa;Archimedes principle;;
Skeletal density;Porites lobata;1,49;g cm-3;mean;American Samoa;Archimedes principle;;
Skeletal density;Porites lobata;1,44;g cm-3;mean;American Samoa;Archimedes principle;;
Skeletal density;Porites lutea;1,21;g cm-3;mean;Koh Lon South Thailand Indo-Pacific;;;
Skeletal density;Porites lutea;1,07;g cm-3;mean;Tin Smelter, Phuket, Thailand;;;
Skeletal density;Porites lutea;1,15;g cm-3;mean;Porites Bay, Thailand;;;
Skeletal density;Porites lutea;1,2;g cm-3;mean;Ko Phi Phi, Thailand;;;
Skeletal density;Porites lutea;1,19;g cm-3;mean;Yam Yen, Phuket, Thailand ;;;
Skeletal density;Porites lutea;1,21;g cm-3;mean;Koh Bon South Thailand Indo-Pacific;;;
Skeletal density;Porites lutea;1,16;g cm-3;mean;Koh Hae South Thailand Indo-Pacific;;;
Skeletal density;Porites lutea;1,37;g cm-3;mean;Koh Racha Yai South Thailand Indo-Pacific;;;
