time;mean growth;genus;specimen_id;reef section
modern;9,24;;;
modern;9,24;;;
modern;12;;;
modern;12,2;;;
modern;17,88;;;
modern;22,4;;;
modern;30,8;;;
modern;34,95;;;
modern;37,6;;;
modern;38,6;;;
modern;40,15;;;
modern;52,65;;;
modern;17,7;;;
modern;13,25;;;
modern;52,2;;;
modern;39,95;;;
modern;65,5;;;
modern;8,55;;;
modern;8,76;;;
modern;12,85;;;
modern;7,6;;;
modern;10,4;;;
modern;18,8;;;
modern;9,9;;;
modern;10,7;;;
modern;13,3;;;
modern;3;;;
modern;13;;;
modern;104,2;;;
modern;32,5;;;
modern;105,2;;;
modern;123,6;;;
modern;62,5;;;
modern;1,22;;;
modern;4,07;;;
modern;4,33;;;
modern;5,63;;;
modern;6,34;;;
modern;6,45;;;
modern;7,47;;;
modern;7,85;;;
modern;71;;;
modern;102;;;
modern;22;;;
modern;25;;;
modern;4,6;;;
modern;5,7;;;
modern;7,1;;;
modern;7,3;;;
modern;10,8;;;
modern;11,6;;;
modern;11,6;;;
modern;13,9;;;
modern;14;;;
modern;14,5;;;
modern;14,8;;;
modern;16,4;;;
modern;4,7;;;
modern;10,1;;;
modern;1,49;;;
modern;9,6;;;
modern;23,7;;;
modern;66,7;;;
modern;93,2;;;
modern;45;;;
modern;5,9;;;
modern;10,3;;;
modern;17,2;;;
modern;8,6;;;
modern;11,8;;;
modern;11;;;
modern;13,1;;;
modern;50,4;;;
modern;23;;;
modern;7,1;;;
modern;7,8;;;
modern;4,25;;;
modern;65;;;
modern;111,2;;;
modern;20;;;
modern;47;;;
modern;88;;;
modern;8;;;
modern;24;;;
modern;9,76;;;
modern;3;;;
modern;4;;;
modern;4,5;;;
modern;4,5;;;
modern;4,5;;;
modern;4,5;;;
modern;5,5;;;
modern;6;;;
modern;6,5;;;
modern;7,8;;;
modern;8;;;
modern;42;;;
modern;13,3;;;
modern;9,6;;;
modern;14,7;;;
modern;19,4;;;
modern;52,8;;;
modern;111,54;;;
modern;120,96;;;
modern;88;;;
modern;109;;;
modern;166;;;
modern;110;;;
modern;19,9;;;
modern;7,66;;;
modern;8,13;;;
modern;5,3;;;
modern;7;;;
modern;15,4;;;
modern;18,4;;;
modern;20;;;
modern;12;;;
modern;10,5;;;
modern;3,5;;;
modern;3,02;;;
modern;8,02;;;
modern;10,81;;;
modern;11,57;;;
modern;11,6;;;
modern;13,49;;;
modern;2;;;
modern;2,5;;;
modern;5,6;;;
modern;7,2;;;
modern;13;;;
modern;3,33;;;
modern;3,71;;;
modern;6,6;;;
modern;8,8;;;
modern;12,4;;;
modern;2,3;;;
modern;3,46;;;
modern;3,5;;;
modern;4,02;;;
modern;4,1;;;
modern;4,8;;;
modern;5,25;;;
modern;5,6;;;
modern;5,9;;;
modern;6,8;;;
modern;7,2;;;
modern;7,2;;;
modern;7,56;;;
modern;8;;;
modern;8;;;
modern;8,1;;;
modern;8,3;;;
modern;8,9;;;
modern;9,1;;;
modern;9,5;;;
modern;10,1;;;
modern;10,4;;;
modern;11;;;
modern;11,3;;;
modern;11,7;;;
modern;12,6;;;
modern;15;;;
modern;17,73;;;
modern;4,45;;;
modern;9,75;;;
modern;1,08;;;
modern;0,96;;;
modern;1,12;;;
modern;1,15;;;
modern;1,17;;;
modern;2;;;
modern;5,5;;;
modern;6;;;
modern;13;;;
modern;33,6;;;
modern;37;;;
modern;39,6;;;
modern;45;;;
modern;45;;;
modern;145;;;
modern;13,45;;;
modern;3,25;;;
modern;1,9;;;
modern;6,75;;;
modern;8,75;;;
modern;6,4;;;
modern;14,15;;;
modern;15,9;;;
modern;25;;;
modern;32,5;;;
modern;48;;;
modern;42,5;;;
modern;118,5;;;
modern;136,5;;;
modern;127,5;;;
