time;mean growth;genus;specimen_id;reef section
modern;12,9;;;
modern;6,7;;;
modern;13,4;;;
modern;4,9;;;
modern;11,8;;;
modern;12,9;;;
modern;11,8;;;
modern;8,7;;;
modern;9,77;;;
modern;5,5;;;
modern;11,7;;;
modern;22,2;;;
modern;23,6;;;
modern;6,7;;;
modern;2,6;;;
modern;11,63;;;
modern;5,58;;;
modern;3,6;;;
modern;9,8;;;
modern;5,1;;;
modern;21,6;;;
modern;12,9;;;
modern;10,3;;;
modern;10,7;;;
modern;11,07;;;
modern;11,445;;;
modern;8,7;;;
modern;15,4;;;
modern;18;;;
modern;18;;;
modern;4,622;;;
modern;4,85;;;
modern;4,912;;;
modern;6,487;;;
modern;2,528;;;
modern;2,197;;;
modern;3,047;;;
modern;3,565;;;
modern;4,539;;;
modern;4,021;;;
modern;3,876;;;
modern;2,28;;;
modern;2,425;;;
modern;2,528;;;
modern;2,694;;;
modern;3,067;;;
modern;2,321;;;
modern;2,425;;;
modern;1,907;;;
modern;2,591;;;
modern;2,383;;;
modern;6,887;;;
modern;7,216;;;
modern;6,969;;;
modern;12,124;;;
modern;8,866;;;
modern;6,144;;;
modern;2,887;;;
modern;7,093;;;
modern;11,175;;;
modern;5,856;;;
modern;7,753;;;
modern;5,32;;;
modern;7,01;;;
modern;1,691;;;
modern;2,763;;;
modern;1,361;;;
modern;1,979;;;
modern;1,567;;;
modern;2,227;;;
modern;1,814;;;
modern;1,814;;;
modern;1,278;;;
modern;2,103;;;
modern;1,098;;;
modern;0,933;;;
modern;1,005;;;
modern;0,953;;;
modern;0,788;;;
modern;1,264;;;
modern;1,482;;;
modern;0,788;;;
modern;1,067;;;
modern;1,368;;;
modern;1,109;;;
modern;1,181;;;
modern;0,912;;;
modern;0,922;;;
modern;1,617;;;
modern;0,933;;;
modern;1,627;;;
modern;0,777;;;
modern;10;;;
modern;10;;;
modern;10;;;
modern;10;;;
modern;20;;;
modern;20;;;
modern;20;;;
modern;20;;;
modern;20;;;
modern;30;;;
modern;30;;;
modern;30;;;
modern;5;;;
modern;5;;;
modern;5;;;
modern;10;;;
modern;10;;;
modern;10;;;
modern;10;;;
modern;10;;;
modern;20;;;
modern;20;;;
modern;20;;;
modern;20;;;
modern;10;;;
modern;10;;;
modern;20;;;
modern;20;;;
modern;20;;;
modern;30;;;
modern;5;;;
modern;5;;;
modern;20;;;
modern;20;;;
modern;110;;;
modern;100;;;
modern;85;;;
modern;109;;;
modern;111;;;
modern;146;;;
modern;82;;;
modern;85;;;
modern;92;;;
modern;50;;;
modern;90;;;
modern;88;;;
modern;90;;;
modern;60;;;
modern;60;;;
modern;62;;;
modern;7,7;;;
modern;8;;;
modern;7,5;;;
modern;7,5;;;
modern;7,7;;;
modern;7,5;;;
modern;7,3;;;
modern;7;;;
modern;7,1;;;
modern;7,2;;;
modern;7,1;;;
modern;7,5;;;
modern;7,6;;;
modern;7,8;;;
modern;7,5;;;
modern;6,7;;;
modern;6,4;;;
modern;6,1;;;
modern;6,7;;;
modern;6;;;
modern;6,8;;;
modern;7,7;;;
modern;8,5;;;
modern;7,9;;;
modern;7,9;;;
modern;7,8;;;
modern;7,7;;;
modern;7,5;;;
modern;7,3;;;
modern;7,2;;;
modern;8,9;;;
modern;8,4;;;
modern;8,1;;;
modern;7,9;;;
modern;7,5;;;
modern;7,5;;;
modern;5,2;;;
modern;5,1;;;
modern;5,5;;;
modern;6;;;
modern;6,1;;;
modern;5,9;;;
modern;4,4;;;
modern;4,5;;;
modern;4,1;;;
modern;3,5;;;
modern;3,4;;;
modern;3,2;;;
modern;3,8;;;
modern;3,6;;;
modern;3,3;;;
modern;5,4;;;
modern;5,6;;;
modern;5,1;;;
modern;3,8;;;
modern;4;;;
modern;3,4;;;
modern;1,2;;;
modern;1,1;;;
modern;1;;;
modern;1,3;;;
modern;1,1;;;
modern;1;;;
modern;1;;;
modern;1,1;;;
modern;1;;;
modern;1,5;;;
modern;1,6;;;
modern;1,1;;;
modern;1,1;;;
modern;1,1;;;
modern;1;;;
modern;6,1;;;
modern;6,4;;;
modern;6,1;;;
modern;6,4;;;
modern;5,6;;;
modern;6,1;;;
modern;6,5;;;
modern;6,2;;;
modern;6,3;;;
modern;7,1;;;
modern;6,6;;;
modern;6,5;;;
modern;6,5;;;
modern;6,6;;;
modern;6,1;;;
modern;4,2;;;
modern;4,4;;;
modern;4;;;
modern;4,2;;;
modern;4,1;;;
modern;4,2;;;
modern;4;;;
modern;4,3;;;
modern;4,6;;;
modern;4,8;;;
modern;4,7;;;
modern;4,8;;;
modern;4,3;;;
modern;4,1;;;
modern;4,2;;;
modern;52,47;;;
modern;34,6;;;
modern;49,06;;;
modern;38,51;;;
modern;58,4;;;
modern;56,42;;;
modern;52,18;;;
modern;30,84;;;
modern;40,56;;;
modern;25,79;;;
modern;45,92;;;
modern;47,91;;;
modern;21,06;;;
modern;14,74;;;
modern;12,3;;;
modern;7,8;;;
modern;16,82;;;
modern;19,16;;;
modern;16,72;;;
modern;10,66;;;
modern;11,52;;;
modern;4,86;;;
modern;14,04;;;
modern;15,52;;;
modern;13,78;;;
modern;9,02;;;
modern;9,7;;;
modern;6,42;;;
modern;12,74;;;
modern;13,34;;;
modern;11,78;;;
modern;3,72;;;
modern;6,68;;;
modern;3,36;;;
modern;9,88;;;
modern;12,14;;;
modern;13,75;;;
modern;7,25;;;
modern;22;;;
modern;35,75;;;
modern;122,7;;;
modern;7;;;
modern;8,6;;;
modern;10,44;;;
modern;21,83;;;
modern;105,2;;;
modern;14,1;;;
modern;12,6;;;
modern;10;;;
modern;11,2;;;
modern;7,4;;;
modern;10,9;;;
modern;15,9;;;
modern;11,9;;;
modern;13,4;;;
modern;14;;;
modern;12,6;;;
modern;12;;;
modern;8;;;
modern;12;;;
modern;9,2;;;
modern;9,5;;;
modern;14,8;;;
modern;3,5;;;
modern;5,2;;;
modern;6,9;;;
modern;2,1;;;
modern;5,8;;;
modern;5;;;
modern;2;;;
modern;2;;;
modern;1,5;;;
modern;7,8;;;
modern;0,25;;;
modern;0,49;;;
modern;0,56;;;
modern;81;;;
modern;69;;;
modern;75;;;
modern;62;;;
modern;6,65;;;
modern;6,91;;;
modern;6,88;;;
modern;6,38;;;
modern;8,24;;;
modern;4,82;;;
modern;7,33;;;
modern;7,93;;;
modern;9,36;;;
modern;8,14;;;
modern;8,14;;;
modern;6,2;;;
modern;4,72;;;
modern;4,83;;;
modern;5,82;;;
modern;4,14;;;
modern;6,75;;;
modern;6,44;;;
modern;5,26;;;
modern;5,5;;;
modern;6,19;;;
modern;18;;;
modern;37,9;;;
modern;80;;;
modern;124;;;
modern;166;;;
modern;47,1;;;
modern;45,9;;;
modern;15,7;;;
modern;48;;;
modern;63,3;;;
modern;47,2;;;
modern;14,3;;;
modern;46,8;;;
modern;94,1;;;
modern;104,5;;;
modern;21,3;;;
modern;23,1;;;
modern;24,3;;;
modern;37,2;;;
modern;22,1;;;
modern;26,4;;;
modern;79;;;
modern;82;;;
modern;5,7;;;
modern;6,8;;;
modern;7,6;;;
modern;9,5;;;
modern;8,965;;;
modern;6,235;;;
modern;3,535;;;
modern;5,89;;;
modern;13,2;;;
modern;9,3;;;
modern;8,5;;;
modern;4,054;;;
modern;4,332;;;
modern;4,332;;;
modern;3,33;;;
modern;3,386;;;
modern;4,128;;;
modern;4,24;;;
modern;4,295;;;
modern;4,481;;;
modern;4,332;;;
modern;4,073;;;
modern;4,704;;;
modern;4,851;;;
modern;4,907;;;
modern;4,796;;;
modern;3,924;;;
modern;3,59;;;
modern;4,035;;;
modern;4,276;;;
modern;4,388;;;
modern;4,499;;;
modern;5,019;;;
modern;1,82;;;
modern;2,35;;;
modern;1,93;;;
modern;3,96;;;
modern;1,71;;;
modern;2,89;;;
modern;2,57;;;
modern;4,6;;;
modern;2,57;;;
modern;4,39;;;
modern;3,43;;;
modern;6,1;;;
modern;3,85;;;
modern;6,1;;;
modern;4,5;;;
modern;7,7;;;
modern;2,688;;;
modern;2,69;;;
modern;2,577;;;
modern;2,616;;;
modern;2,313;;;
modern;2,117;;;
modern;2,812;;;
modern;2,516;;;
modern;2,498;;;
modern;2,128;;;
modern;2,653;;;
modern;2,529;;;
modern;2,659;;;
modern;2,828;;;
modern;2,477;;;
modern;2,506;;;
modern;2,775;;;
modern;2,236;;;
modern;2,426;;;
modern;1,991;;;
modern;2,112;;;
modern;2,015;;;
modern;2,07;;;
modern;2,371;;;
modern;2,088;;;
modern;2,144;;;
modern;1,772;;;
modern;7,3;;;
modern;5,8;;;
modern;6,2;;;
modern;6,4;;;
modern;5,5;;;
modern;9,4;;;
modern;9,8;;;
modern;7,8;;;
modern;9,8;;;
modern;6,2;;;
modern;7;;;
modern;8,4;;;
modern;7,5;;;
modern;8,4;;;
modern;9,1;;;
modern;9;;;
modern;10;;;
modern;8,1;;;
modern;7,5;;;
modern;8,2;;;
modern;6,7;;;
modern;8,6;;;
modern;8,1;;;
modern;7,1;;;
modern;8,7;;;
modern;7,5;;;
modern;7,5;;;
modern;7,7;;;
modern;8,6;;;
modern;9,9;;;
modern;7,5;;;
modern;8,8;;;
modern;6,7;;;
modern;8,5;;;
modern;4,8;;;
