time;;specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth mm;comments;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;8,16;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;2,24;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;1,86;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;2,63;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;1,75;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;3,1;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;1,2;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;2,11;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;4,12;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;5,7;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;3,61;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;3,35;;;;
Oligocene;Oligocene reef front;SC1;Actinacis;SC;40,040278;18,443056;75;48;6,65;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,1;massive, low part of the section ;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;1,5;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,81;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;2,82;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,07;;;;
Oligocene;Oligocene reef front;SC2;Poriticae;SC;40,040278;18,445833;12;21;3,1;;;;
