specimen id;genus;Section name;latitude;longitude;height cm;width cm;growth mm
SC2a;Poriticae;SC;40,040278;18,445833;12;21;1,79
SC2a;Poriticae;SC;40,040278;18,445833;12;21;1,72
SC2a;Poriticae;SC;40,040278;18,445833;12;21;3,16
SC2a;Poriticae;SC;40,040278;18,445833;12;21;2,88
SC2a;Poriticae;SC;40,040278;18,445833;12;21;3,18
SC2a;Poriticae;SC;40,040278;18,445833;12;21;2,68
SC2a;Poriticae;SC;40,040278;18,445833;12;21;2,06
SC2a;Poriticae;SC;40,040278;18,445833;12;21;3,79
SC2a;Poriticae;SC;40,040278;18,445833;12;21;2,98
SC2a;Poriticae;SC;40,040278;18,445833;12;21;2,87
SC2a;Poriticae;SC;40,040278;18,445833;12;21;3,67
SC2a;Poriticae;SC;40,040278;18,445833;12;21;7,01
SC2a;Poriticae;SC;40,040278;18,445833;12;21;4,14
SC2a;Poriticae;SC;40,040278;18,445833;12;21;6,63
SC2b;Poriticae;SC;40,040278;18,445833;12;21;2,66
SC2b;Poriticae;SC;40,040278;18,445833;12;21;1,36
SC2b;Poriticae;SC;40,040278;18,445833;12;21;2,99
SC2b;Poriticae;SC;40,040278;18,445833;12;21;1,89
SC2b;Poriticae;SC;40,040278;18,445833;12;21;2,23
SC2b;Poriticae;SC;40,040278;18,445833;12;21;1,94
SC2b;Poriticae;SC;40,040278;18,445833;12;21;2,73
SC2b;Poriticae;SC;40,040278;18,445833;12;21;1,17
SC2b;Poriticae;SC;40,040278;18,445833;12;21;3,18
SC2b;Poriticae;SC;40,040278;18,445833;12;21;5,09
SC2b;Poriticae;SC;40,040278;18,445833;12;21;3,47
SC2b;Poriticae;SC;40,040278;18,445833;12;21;6,7
SC2b;Poriticae;SC;40,040278;18,445833;12;21;4,34
SC2b;Poriticae;SC;40,040278;18,445833;12;21;3,19
SC2b;Poriticae;SC;40,040278;18,445833;12;21;2,18
SC2b;Poriticae;SC;40,040278;18,445833;12;21;1,2
SC2b;Poriticae;SC;40,040278;18,445833;12;21;3,11
SC2b;Poriticae;SC;40,040278;18,445833;12;21;2,41
SC2b;Poriticae;SC;40,040278;18,445833;12;21;3,72
SC2b;Poriticae;SC;40,040278;18,445833;12;21;2,67
SC2b;Poriticae;SC;40,040278;18,445833;12;21;3,21
SC2b;Poriticae;SC;40,040278;18,445833;12;21;5,26
SC2b;Poriticae;SC;40,040278;18,445833;12;21;3,09
SC2b;Poriticae;SC;40,040278;18,445833;12;21;5,84
SC3a;Poriticae;SC;40,040278;18,445833;30;48;3,48
SC3a;Poriticae;SC;40,040278;18,445833;30;48;5,26
SC3a;Poriticae;SC;40,040278;18,445833;30;48;6,3
SC3a;Poriticae;SC;40,040278;18,445833;30;48;5,29
SC3a;Poriticae;SC;40,040278;18,445833;30;48;5,84
SC3a;Poriticae;SC;40,040278;18,445833;30;48;3,48
SC3a;Poriticae;SC;40,040278;18,445833;30;48;3,19
SC3a;Poriticae;SC;40,040278;18,445833;30;48;1,77
SC3a;Poriticae;SC;40,040278;18,445833;30;48;1,92
SC3a;Poriticae;SC;40,040278;18,445833;30;48;1,66
SC3a;Poriticae;SC;40,040278;18,445833;30;48;3,55
SC3a;Poriticae;SC;40,040278;18,445833;30;48;4,1
SC3a;Poriticae;SC;40,040278;18,445833;30;48;3,36
SC3b;Poriticae;SC;40,040278;18,445833;30;48;3,62
SC3b;Poriticae;SC;40,040278;18,445833;30;48;1,49
