ct.growthrate.species.name;ct.growthrate,trait,name;ct.growthrate.value;;;
Porites astreoides;Growth rate;8,75;;;
Porites australiensis;Growth rate;21,1;;;
Porites australiensis;Growth rate;13,4;;;
Porites australiensis;Growth rate;15,4;;;
Porites australiensis;Growth rate;19,5;;;
Porites australiensis;Growth rate;12,9;;;
Porites australiensis;Growth rate;6,7;;;
Porites australiensis;Growth rate;13,4;;;
Porites australiensis;Growth rate;4,9;;;
Porites australiensis;Growth rate;11,8;;;
Porites australiensis;Growth rate;12,9;;;
Porites australiensis;Growth rate;11,8;;;
Porites australiensis;Growth rate;8,7;;;
Porites australiensis;Growth rate;9,5;;;
Porites columnaris;Growth rate;6,2;;;
Porites columnaris;Growth rate;4,72;;;
Porites columnaris;Growth rate;4,83;;;
Porites columnaris;Growth rate;5,82;;;
Porites columnaris;Growth rate;4,14;;;
Porites columnaris;Growth rate;6,75;;;
Porites columnaris;Growth rate;6,44;;;
Porites columnaris;Growth rate;5,26;;;
Porites columnaris;Growth rate;5,5;;;
Porites columnaris;Growth rate;6,19;;;
Porites compressa;Growth rate;0,079;;;
Porites compressa;Growth rate;0,077;;;
Porites compressa;Growth rate;0,095;;;
Porites compressa;Growth rate;0,093;;;
Porites compressa;Growth rate;0,086;;;
Porites compressa;Growth rate;0,096;;;
Porites compressa;Growth rate;0,074;;;
Porites compressa;Growth rate;0,089;;;
Porites compressa;Growth rate;5,9;;;
Porites compressa;Growth rate;8,8;;;
Porites compressa;Growth rate;15,232;;;
Porites compressa;Growth rate;8,731;;;
Porites compressa;Growth rate;12,372;;;
Porites compressa;Growth rate;14,895;;;
Porites compressa;Growth rate;13,333;;;
Porites compressa;Growth rate;7,3;;;
Porites compressa;Growth rate;10,8;;;
Porites compressa;Growth rate;7,66;;;
Porites compressa;Growth rate;8,13;;;
Porites cylindrica;Growth rate;25;;;
Porites cylindrica;Growth rate;2,62;;;
Porites cylindrica;Growth rate;1,732;;;
Porites cylindrica;Growth rate;1,056;;;
Porites cylindrica;Growth rate;7,4;;;
Porites cylindrica;Growth rate;12,85;;;
Porites evermanni;Growth rate;11,6;;;
Porites furcata;Growth rate;53,3;;;
Porites furcata;Growth rate;15,9;;;
Porites heronensis;Growth rate;10,5;;;
Porites lichen;Growth rate;16,3;;;
Porites lobata;Growth rate;10;;;
Porites lobata;Growth rate;11,5;;;
Porites lobata;Growth rate;5,5;;;
Porites lobata;Growth rate;9,77;;;
Porites lobata;Growth rate;5,5;;;
Porites lobata;Growth rate;11,7;;;
Porites lobata;Growth rate;22,2;;;
Porites lobata;Growth rate;23,6;;;
Porites lobata;Growth rate;6,7;;;
Porites lobata;Growth rate;2,6;;;
Porites lobata;Growth rate;6,65;;;
Porites lobata;Growth rate;6,91;;;
Porites lobata;Growth rate;6,88;;;
Porites lobata;Growth rate;6,38;;;
Porites lobata;Growth rate;8,24;;;
Porites lobata;Growth rate;4,82;;;
